titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
,Federico García Lorca,"Drama, Humor, Teatro",,,https://ww3.lectulandia.co/book/los-titeres-de-cachiporra/,Drama,2026-09-15
,Eduardo Sacheri,"Bélico, Drama, Novela",Guerra de las Malvinas,,https://ww3.lectulandia.co/book/que-quedara-de-nosotros/,Drama,2026-09-15
,Lionel Shriver,"Distopía, Drama, Humor, Novela",,,https://ww3.lectulandia.co/book/mania/,Drama,2026-09-15
,Carlos Sanclemente,"Drama, Novela",,,https://ww3.lectulandia.co/book/los-que-esperan-su-duelo/,Drama,2026-09-15
,Janne Teller,"Drama, Novela, Psicológico, Romántico",,,https://ww3.lectulandia.co/book/justicia-2/,Drama,2026-09-15
,Siri Hustvedt,"Drama, Novela",,,https://ww3.lectulandia.co/book/el-hechizo-de-lily-dahl/,Drama,2026-09-15
,Lide Aguirre,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/la-vida-privada-de-piero-garza/,Drama,2026-09-15
,Mariana Salomão Carrara,"Drama, Novela",,,https://ww3.lectulandia.co/book/si-no-fuera-por-las-silabas-del-sabado/,Drama,2026-09-15
,Antonio Mercero,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/esta-lloviendo-y-te-quiero/,Drama,2026-09-15
,Gustave Guitton,"Drama, Novela",Los apaches de París,,https://ww3.lectulandia.co/book/los-apaches-de-paris/,Drama,2026-09-15
,Martina Hefter,"Drama, Novela",,,https://ww3.lectulandia.co/book/hey-buenos-dias-como-estas/,Drama,2026-09-15
,Kamel Daoud,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/huries/,Drama,2026-09-15
,Franz Karl Franchy,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-calle-del-incendio/,Drama,2026-09-15
,Gustave Guitton,"Drama, Novela, Policíaco",Los apaches de París,,https://ww3.lectulandia.co/book/la-escuela-del-crimen/,Drama,2026-09-15
,Paco Gómez Escribano,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/fondo-buitre/,Drama,2026-09-15
,Jean-Nöel Orengo,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/el-desdichado-amor-del-fuhrer/,Drama,2026-09-15
,Karla Zárate,"Drama, Intriga, Novela",,,https://ww3.lectulandia.co/book/el-invierno-llego-sin-avisar/,Drama,2026-09-15
,Rosa Díez-Urrestarazu,"Drama, Histórico, Novela, Otros, Realista",,,https://ww3.lectulandia.co/book/cuando-brillan-las-manzanas/,Drama,2026-09-15
,Iván de Cristóbal,"Drama, Intriga, Novela",,,https://ww3.lectulandia.co/book/nos-falta-un-muerto/,Drama,2026-09-15
,Natasha Brown,"Drama, Novela",,,https://ww3.lectulandia.co/book/los-universalistas/,Drama,2026-09-15
,Empar Moliner,"Drama, Humor, Novela",,,https://ww3.lectulandia.co/book/la-colaboradora/,Drama,2026-09-15
,Mieko Kawakami,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/los-amantes-de-la-noche/,Drama,2026-09-15
,Hiromi Kawakami,"Drama, Novela",,,https://ww3.lectulandia.co/book/de-pronto-oigo-la-voz-del-agua/,Drama,2026-09-15
,Marta Orrantia,"Drama, Novela",,,https://ww3.lectulandia.co/book/juego-de-te/,Drama,2026-09-15
,William Shakespeare,"Drama, Juvenil, Teatro",Clásicos a medida,,https://ww3.lectulandia.co/book/hamlet-ed-clasicos-a-medida/,Drama,2026-09-15
,Hua Yu,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-ciudad-escondida-hua-yu/,Drama,2026-09-15
,Livia Stefani,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-vina-de-uvas-negras/,Drama,2026-09-15
,Silvia Intxaurrondo,"Drama, Novela",,,https://ww3.lectulandia.co/book/solas-en-el-silencio/,Drama,2026-09-15
,Claudia Muñiz,"Drama, Novela",,,https://ww3.lectulandia.co/book/rom-com/,Drama,2026-09-15
,Grégory Cingal,"Bélico, Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/los-ultimos-de-la-lista/,Drama,2026-09-15
,Ashley Poston,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/a-siete-anos-de-ti/,Drama,2026-09-15
,Andrea Longarela,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/cuando-despierten-las-flores/,Drama,2026-09-15
,Janet Frame,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/al-margen-del-alfabeto/,Drama,2026-09-15
,Alejandro Santa María Conill,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-ciudad-de-barro/,Drama,2026-09-15
,Warren Adler,"Drama, Novela, Sátira",,,https://ww3.lectulandia.co/book/la-guerra-de-los-rose/,Drama,2026-09-15
,Severiano Fernández Nicolás,"Drama, Novela",,,https://ww3.lectulandia.co/book/las-influencias/,Drama,2026-09-15
,Iverna Codina,"Drama, Realista, Relato",,,https://ww3.lectulandia.co/book/la-enlutada/,Drama,2026-09-15
,Guillermo Alonso,"Drama, Novela",,,https://ww3.lectulandia.co/book/el-efecto-deseado/,Drama,2026-09-15
,John O’Hara,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-venus-del-vison/,Drama,2026-09-15
,"Anthony Masters, Michael Hardwick","Bélico, Drama, Novela",,,https://ww3.lectulandia.co/book/tenko/,Drama,2026-09-15
,Francesca Giannone,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-fragancia-del-manana/,Drama,2026-09-15
,Adam Haslett,"Drama, Novela",,,https://ww3.lectulandia.co/book/madres-e-hijos-adam-haslett/,Drama,2026-09-15
,Chiara Valerio,"Drama, Novela",,,https://ww3.lectulandia.co/book/quien-habla-y-quien-calla/,Drama,2026-09-15
,Roberto Santiago,"Drama, Intriga, Juvenil, Novela",,,https://ww3.lectulandia.co/book/el-circulo-roberto-santiago/,Drama,2026-09-15
,Montse Albets,"Drama, Novela",,,https://ww3.lectulandia.co/book/solo-tierra-solo-lluvia-solo-barro/,Drama,2026-09-15
,Joseph Conrad,"Drama, Novela",,,https://ww3.lectulandia.co/book/nostromo-trad-rafael-santervas/,Drama,2026-09-15
,Grady Hendrix,"Drama, Novela",,,https://ww3.lectulandia.co/book/brujeria-para-chicas-descarriadas/,Drama,2026-09-15
,Lucía Solla Sobral,"Drama, Novela, Psicológico",,,https://ww3.lectulandia.co/book/comeras-flores/,Drama,2026-09-15
,William Somerset Maugham,"Drama, Novela",,,https://ww3.lectulandia.co/book/cautiva-de-amor/,Drama,2026-09-15
,Pilar Quintana,"Drama, Novela",,,https://ww3.lectulandia.co/book/noche-negra/,Drama,2026-09-15
,Mónica Soldevila,"Drama, Histórico, Novela, Romántico",,,https://ww3.lectulandia.co/book/una-casa-en-manila/,Drama,2026-09-15
,Severiano Fernández Nicolás,"Drama, Novela",,,https://ww3.lectulandia.co/book/el-desahucio/,Drama,2026-09-15
,Sergiusz Piasecki,"Drama, Novela",,,https://ww3.lectulandia.co/book/el-enamorado-de-la-osa-mayor-tr-jose-farran/,Drama,2026-09-15
,Jesús Torbado,"Drama, Novela",,,https://ww3.lectulandia.co/book/moira-estuvo-aqui/,Drama,2026-09-15
,Cristina Barea,"Drama, Novela",,,https://ww3.lectulandia.co/book/miedo-de-vivirte/,Drama,2026-09-15
,Kate Quinn,"Drama, Novela",,,https://ww3.lectulandia.co/book/las-mujeres-del-club-briar/,Drama,2026-09-15
,Richard Yates,"Drama, Otros, Realista, Relato",,,https://ww3.lectulandia.co/book/once-maneras-de-sentirse-solo/,Drama,2026-09-15
,Maria Àngels Anglada,"Drama, Novela",,,https://ww3.lectulandia.co/book/los-cercados/,Drama,2026-09-15
,Rafael López de Haro,"Drama, Novela, Psicológico",,,https://ww3.lectulandia.co/book/doble-crimen/,Drama,2026-09-15
,Maria Àngels Anglada,"Drama, Novela",,,https://ww3.lectulandia.co/book/los-cercados-ed-revisada/,Drama,2026-09-15
,Carolina Casado,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/si-decides-volver/,Drama,2026-09-15
,Francisco Candel,"Drama, Relato",,,https://ww3.lectulandia.co/book/los-hombres-de-la-mala-uva/,Drama,2026-09-15
,Felicia Yap,"Drama, Intriga, Novela, Policíaco",,,https://ww3.lectulandia.co/book/el-juego-de-la-memoria/,Drama,2026-09-15
,Ricardo Fernández de la Reguera,"Drama, Novela",,,https://ww3.lectulandia.co/book/bienaventurados-los-que-aman/,Drama,2026-09-15
,Vicente Blasco Ibáñez,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-familia-del-doctor-pedraza/,Drama,2026-09-15
